Año,Municipio,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2015,Balancán,El patrimonio,Robo,Robo de ganado,Con violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,El patrimonio,Robo,Robo de ganado,Sin violencia,7,11,5,7,11,15,10.0,17.0,18.0,5.0,0.0,5.0
2015,Balancán,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Con violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Sin violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Con violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Sin violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,El patrimonio,Robo,Otros robos,Con violencia,0,0,1,1,2,0,0.0,0.0,0.0,1.0,0.0,0.0
2015,Balancán,El patrimonio,Robo,Otros robos,Sin violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,El patrimonio,Fraude,Fraude,Fraude,0,0,3,2,0,0,3.0,3.0,1.0,3.0,0.0,0.0
2015,Balancán,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,0,1,0,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2015,Balancán,El patrimonio,Extorsión,Extorsión,Extorsión,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,5,7,4,4,3,10,7.0,3.0,1.0,2.0,0.0,2.0
2015,Balancán,El patrimonio,Despojo,Despojo,Despojo,1,2,1,3,1,3,2.0,0.0,1.0,0.0,0.0,0.0
2015,Balancán,El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
2015,Balancán,La familia,Violencia familiar,Violencia familiar,Violencia familiar,7,3,1,6,8,1,6.0,7.0,0.0,2.0,1.0,0.0
2015,Balancán,La familia,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,6,4,9,5,7,1,1.0,7.0,1.0,8.0,0.0,0.0
2015,Balancán,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,La sociedad,Corrupción de menores,Corrupción de menores,Corrupción de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,La sociedad,Trata de personas,Trata de personas,Trata de personas,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,La sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo,Narcomenudeo,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,8,3,3,1,3,2,3.0,2.0,1.0,3.0,3.0,5.0
2015,Balancán,Otros bienes jurídicos afectados (del fuero común),Allanamiento de morada,Allanamiento de morada,Allanamiento de morada,1,1,1,1,1,1,2.0,1.0,0.0,1.0,0.0,0.0
2015,Balancán,Otros bienes jurídicos afectados (del fuero común),Evasión de presos,Evasión de presos,Evasión de presos,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,Otros bienes jurídicos afectados (del fuero común),Falsedad,Falsedad,Falsedad,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,Otros bienes jurídicos afectados (del fuero común),Falsificación,Falsificación,Falsificación,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,Otros bienes jurídicos afectados (del fuero común),Contra el medio ambiente,Contra el medio ambiente,Contra el medio ambiente,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,Otros bienes jurídicos afectados (del fuero común),Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,Otros bienes jurídicos afectados (del fuero común),Electorales,Electorales,Electorales,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Balancán,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,19,16,21,15,11,25,18.0,14.0,35.0,17.0,20.0,6.0
2015,Cárdenas,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,0,0,2,2,0,0,0.0,0.0,0.0,1.0,1.0,0.0
2015,Cárdenas,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,4,1,0,0,0,1,6.0,2.0,3.0,3.0,1.0,4.0
2015,Cárdenas,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,2,5,5,6,4,2,3.0,7.0,6.0,4.0,3.0,8.0
2015,Cárdenas,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,27,39,32,54,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,0,0,0,0,29,12,55.0,36.0,21.0,26.0,53.0,34.0
2015,Cárdenas,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,5,7,10,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,0,0,0,0,8,5,0.0,0.0,3.0,7.0,3.0,5.0
2015,Cárdenas,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
2015,Cárdenas,La vida y la Integridad corporal,Aborto,Aborto,Aborto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,2,0,1,0,0,2,0.0,0.0,0.0,2.0,3.0,1.0
2015,Cárdenas,Libertad personal,Secuestro,Secuestro,Secuestro extorsivo,2,3,0,1,3,2,2.0,1.0,1.0,1.0,0.0,3.0
2015,Cárdenas,Libertad personal,Secuestro,Secuestro,Secuestro con calidad de rehén,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,Libertad personal,Secuestro,Secuestro,Secuestro para causar daño,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,Libertad personal,Secuestro,Secuestro,Secuestro exprés,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,Libertad personal,Secuestro,Secuestro,Otro tipo de secuestros,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,Libertad personal,Rapto,Rapto,Rapto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,2,4,5,3,2,0,0.0,2.0,3.0,2.0,3.0,3.0
2015,Cárdenas,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,1,1,1,0,1,0,0.0,0.0,0.0,2.0,0.0,0.0
2015,Cárdenas,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,1,2,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0
2015,Cárdenas,La libertad y la seguridad sexual,Violación simple,Violación simple,Violación simple,1,1,2,1,0,1,2.0,0.0,2.0,2.0,1.0,1.0
2015,Cárdenas,La libertad y la seguridad sexual,Violación equiparada,Violación equiparada,Violación equiparada,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La libertad y la seguridad sexual,Incesto,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,0,1,2,3,1,1,0.0,0.0,2.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo a casa habitación,Con violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo a casa habitación,Sin violencia,28,18,29,23,21,6,21.0,25.0,15.0,21.0,23.0,24.0
2015,Cárdenas,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,16,22,19,0,0,0,9.0,6.0,22.0,11.0,23.0,30.0
2015,Cárdenas,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,4,12,9,0,0,1,6.0,10.0,1.0,12.0,16.0,9.0
2015,Cárdenas,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Con violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Sin violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo de autopartes,Con violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo de autopartes,Sin violencia,2,1,1,1,7,6,2.0,1.0,4.0,0.0,0.0,2.0
2015,Cárdenas,El patrimonio,Robo,Robo a transportista,Con violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo a transportista,Sin violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,65,43,60,51,47,25,74.0,56.0,54.0,43.0,49.0,66.0
2015,Cárdenas,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo en transporte público individual,Con violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo en transporte público individual,Sin violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo en transporte público colectivo,Con violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo en transporte público colectivo,Sin violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo en transporte individual,Con violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo en transporte individual,Sin violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo a institución bancaria,Con violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo a negocio,Con violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo a negocio,Sin violencia,4,28,25,6,14,1,9.0,4.0,11.0,7.0,47.0,18.0
2015,Cárdenas,El patrimonio,Robo,Robo de ganado,Con violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo de ganado,Sin violencia,5,11,8,6,8,6,10.0,14.0,3.0,3.0,5.0,6.0
2015,Cárdenas,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Con violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Cárdenas,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Sin violencia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
